,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
767,3. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
768,4. AlNaqaa,9.1,Falafel,$,0,11
769,5. Dutch Brunch,9.1,Breakfast,$,0,5
770,6. Mama Noura,9.1,Shawarma Restaurant,$,0,29
771,7. Dunkin' Donuts,9.1,Donuts,$,0,9
772,8. Jathel,9.1,Café,$,0,8
773,9. Dunkin Dounts,9.0,Donuts,$,0,9
774,10. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,4
775,11. دوز كافيه,9.0,Café,$,0,8
776,12. Dunkin' Donuts,9.0,Donuts,$,0,9
777,13. Dunkin' Donuts دانكن دونات,9.0,Donuts,$$,1,9
778,14. Shawarma House,9.0,Middle Eastern,$,0,22
779,15. فلافل ثمار,9.0,Falafel,$,0,11
780,1. WHJ CAFE,9.3,Café,$,0,8
781,2. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$,0,5
782,3. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
783,4. AlNaqaa,9.1,Falafel,$,0,11
784,5. Dutch Brunch,9.1,Breakfast,$,0,5
785,6. Mama Noura,9.1,Shawarma Restaurant,$,0,29
786,7. Dunkin' Donuts,9.1,Donuts,$,0,9
787,8. Jathel,9.1,Café,$,0,8
788,9. Dunkin Dounts,9.0,Donuts,$,0,9
789,10. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,4
790,11. دوز كافيه,9.0,Café,$,0,8
791,12. Dunkin' Donuts,9.0,Donuts,$,0,9
792,13. Dunkin' Donuts دانكن دونات,9.0,Donuts,$$,1,9
793,14. Shawarma House,9.0,Middle Eastern,$,0,22
794,15. فلافل ثمار,9.0,Falafel,$,0,11
795,1. WHJ CAFE,9.3,Café,$,0,8
796,2. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$,0,5
797,3. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
798,4. AlNaqaa,9.1,Falafel,$,0,11
799,5. Dutch Brunch,9.1,Breakfast,$,0,5
800,6. Mama Noura,9.1,Shawarma Restaurant,$,0,29
801,7. Dunkin' Donuts,9.1,Donuts,$,0,9
802,8. Jathel,9.1,Café,$,0,8
803,9. Dunkin Dounts,9.0,Donuts,$,0,9
804,10. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,4
805,11. دوز كافيه,9.0,Café,$,0,8
